,AGOP,MI score,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PI_XGBoost,PI_xRFM,PI_MLP
word_freq_make,0.00014067076,0.05201516959558794,-0.13041324426277565,0.02432023259304688,0.08648462147785999,-0.04088094254881162,-0.08658486406224782,-0.06562029840865666,-0.02287830010310639,0.09531762966969884,-0.13487096056726453,0.08132600162683343,0.005579946367034104,-0.010140499046136257,-0.014031169779469091,-0.05305790698319854,0.15396151764076313,-0.28003411771389297,-0.1263112251031272,0.04950025797083516,-0.002451659070075901,-0.09546215344817205,0.29243518591402357,0.3325935408164306,0.2614508458913166,0.18109604577875704,-0.34014312777442846,-0.11811276493417575,0.12163040255393064,0.035106400895458516,0.09728427801659631,-0.2616601431993694,-0.018532246015258186,-0.09379124381750675,0.09240751887888125,0.023594809196941804,0.029472025144581575,0.08579487045997677,0.03139002074697219,-0.1630643351739122,0.020282032457309487,-0.020106270802438864,-0.02397234781414404,-0.00042458168171505706,0.03763862202203089,-0.00708232316518434,-0.013197190380730667,0.0010705325167815279,-0.011551904497066896,0.0028218667281232554,-0.00278472554744838,0.0033849954498576342,-0.012230636153252724,0.006630417560441531,-0.003917240223225618,-0.001654372494781584,-0.00029742265180293924,-0.0018646018018962443,-1.7812970337071632e-06,-0.000867678958785234,-0.0008676789587852562,-0.0021691973969631072
word_freq_address,0.00063475093,0.06319368519884949,-0.02534488217846802,-0.03631445595534619,-0.026219325316240934,0.006146182459379195,-0.02991828098996478,-0.002414085404476081,0.00571464433775985,-0.07090876301105818,-0.03289373178593848,-0.05561985355724531,-0.03141118616865248,0.023900637773262175,-0.15469477268627682,-0.2420111491458369,-0.3368971115096761,0.3006865570007584,0.29014483335495883,0.6846716858899061,-0.11575458592454087,-0.3744405702577722,0.19136142599174563,-0.051944966322621,0.12130452804144966,-0.06353750966131803,-0.05707310226760032,0.12125257436363311,-0.026656010339565217,-0.05314999549339779,0.04130772977517245,-0.010223266827656823,-0.039222791715928455,0.03573024013938107,0.03933655914920592,-0.033929316656873626,-0.002683266191070422,-0.027597850829476276,0.009427090316452327,0.010081638243653514,-0.00038250099174389623,0.0011501365005078183,-0.0026020437743224474,-0.004663795879489178,-0.0030117322334766343,-0.006784202723303852,0.01093651731444908,-0.0004581545980497714,-0.004623158538229961,-0.008316185740396786,0.001900857123612625,0.007149966702514961,-0.0042234605820796215,0.003935491186578274,-0.002871374897160381,0.0007102351201276965,0.00043928381593197574,0.0007736795287715496,-1.2178205174426685e-06,0.0,0.000433839479392617,0.00043383947939263924
word_freq_all,0.00039605025,0.07800966736731696,-0.1802857870279454,-0.04166324117470999,0.17625121071874517,-0.2286401336137708,-0.14097410553438008,-0.07337640680154753,-0.029865943040035474,0.17358710746921388,-0.01207064599232276,0.035194557596399875,-0.0131371425714421,0.07298248097105332,-0.061388056706387466,-0.18148801266189665,0.07051581042181286,0.09341665354307895,0.0001458517968621664,-0.11315173802207827,0.06853240747924333,0.13884599140451642,-0.024639673902164993,-0.057130104157564,0.005162573063765986,-0.12223895727545285,0.06689787039204852,0.3827343284090152,0.3554369520247552,-0.09218263826048778,0.17264829489866337,-0.08719662951787414,-0.25932606719985934,-0.04043390477714421,0.10110811860043246,0.1229935158218514,-0.11112615213748407,0.04579471878074517,-0.1690139589504415,0.02978867152709071,-0.004209156584492486,0.03613520231982673,-0.036099785970170495,-0.05413514476010468,-0.009366463348312662,-0.05359400503244483,-0.03542773302832773,-0.01581761478430191,-0.006131698552329059,0.014869988577342313,-0.01406903716968012,-0.01138479772428374,0.007366610555455917,0.0061939201837944175,0.00975709100031537,-0.0022303099552142026,-0.010448263745398456,0.008038108912181836,8.517384707052205e-06,0.000867678958785234,0.0021691973969631072,-0.0039045553145336197
word_freq_3d,2.1584194e-05,0.032918957204357335,-0.26961086829012343,0.33439145211720067,1.0967149163263819,1.4325518932724677,0.017391216607678568,-0.03248081081832079,-0.005316358496827407,0.010380137790529438,0.05711264050817404,0.04373230807052135,-0.053420129787496023,0.04781851890927819,-0.03230598904585725,-0.02533869039785582,0.010344343068457787,0.028021662422682288,-0.01944046979675693,-0.020121012198401064,0.02080386696339802,-0.001520313084390751,0.011263937601445832,0.0032642851426712806,0.018137837782666064,-0.011880999013290722,-0.005524289962562497,0.032412086430170246,0.02420039183260404,0.0012425850979107624,-0.009832343992186023,0.023623878691050954,-0.002354862556081865,0.022919652342364448,0.0009706614526560081,-0.012714718595253116,-0.008038188577238146,0.0008607361144485132,-0.0024132010812628877,0.010524604623386625,-0.010278713080427892,-0.0002917075617210415,0.0010790968614687547,0.004302120216467316,0.0019226699797944254,-0.0009852630922137003,-0.00391690481070482,0.0032597495463363253,-0.0008442628011674526,-0.008454217466977046,-0.0019937647276467357,0.00334920851834515,-0.0052932560644681145,0.002311517762535934,0.0005226630207084115,-0.0008778380318153443,-2.095396379276669e-05,0.0014728196316051078,2.341238343171212e-06,0.0,0.0,0.0017353579175705346
word_freq_our,0.00085088593,0.10099829821906181,-0.1333731854878641,-0.041812949450459665,0.1525793496103796,-0.16425179413667762,-0.04453021570553049,-0.28780131481874965,-0.060252791718293064,0.4486946862132714,0.06601840979761017,-0.10250894529084513,-0.029588876770038325,0.17535549819169388,0.3291549301590837,0.1311438974379921,-0.2743329870991563,0.5087720151162307,-0.2787531526665322,-0.3348187530509724,-0.2031593759759887,-0.3183047751780541,0.008325113136040282,0.07907820768830848,0.08133865161599575,-0.12992693326519458,-0.003018782018534151,-0.07611815757575428,0.06198350023210614,0.05020137715685131,0.03652667874271873,-0.050885583375037076,0.09868083892002694,0.017512628133401775,0.03725375402359367,-0.010605303721157722,0.07484421231523648,0.012696295424296533,0.008705045794854439,0.030312903314890335,-0.02123715516177101,-0.0004920259295454987,0.003908233109521861,0.0016759800849941915,0.020410820773143556,-0.004732031678822343,0.01650194057170333,0.0032434825269257576,0.005723760959096214,-0.007546874033451357,0.003127859311340589,0.002740296082302019,-0.00290434476571484,0.002044515983139631,0.001798443844382386,0.0008149179158247465,0.004148618153635188,0.001057621382705731,8.562034258386139e-07,0.0030368763557483635,0.003470715835141003,-0.000433839479392617
word_freq_over,0.00015340139,0.06210594349865506,-0.21289889927331743,-0.06931401383546476,0.2934259771349048,-0.33935075554639865,0.046457450599514366,-0.01748176648051767,0.008134614490438096,-0.2868532887752446,0.9003741778048855,0.5129916974752808,-0.38410130882363025,-0.09539670340081928,-0.05053636936280065,0.17181750663290576,0.15066680554287942,0.011219425168346385,-0.17383974266069555,0.0955603566641488,-0.12060481964692536,-0.08155380013652799,0.0756930580499489,-0.0618346449305567,-0.03479681219523614,-0.022068135863759827,-0.04271896107391601,-0.003593384019319654,0.002668486743564367,-0.004267864567252578,0.00793005126485386,0.005214994855501062,0.0027378957943549925,0.014561203035361538,0.02900353476555194,-0.00610475063518841,7.867193491023538e-05,-0.0008858315225429397,-0.010724128711567641,-0.006432228755781431,0.02984971133516583,0.02351617624526156,-0.0042710240431061315,-0.025090040463901113,0.0023643824509005217,-0.025992692152772143,0.001286787137026535,1.2438196067219201e-05,0.005986141590943689,-0.0035058718906840936,-0.003233530849436759,0.0022140389250196297,0.005662625187469097,0.0012758688417211716,0.00025421313223169997,0.0007604706193566153,-0.00013811904536386915,0.005152068104523471,4.910628235955348e-06,0.0,-0.000433839479392617,-0.0026030368763557245
word_freq_remove,0.0011079981,0.1342147550948729,-0.19134616892410994,-0.020709160011250234,0.21172751683910845,-0.08536276906287035,-0.10352043031221957,-0.2718911081959823,-0.02556475381141925,0.0887522290327356,0.10980131991988672,0.11364854121858854,0.021261896519856303,-0.3081774712287337,0.5003850977132135,0.17259641173706666,-0.4197384753494722,-0.37999323220825404,0.4916078105075512,-0.03135309175346879,-0.11725802619904432,0.12996032395514714,-0.1942172582456495,-0.006645583694879969,0.16192730998610516,-0.08171748185048422,-0.10629906055777533,0.040695628449514507,-0.02309230742377644,-0.06671800191475043,0.02412638947813838,-0.0029262139294872437,-0.020506651523462358,-0.00233050596589583,0.049217032023299655,-0.023312481292374055,-0.017932685886656287,-0.05066555464894826,-0.004330889656729212,-0.01727212161207066,0.006251828967941175,-0.00013002014191432535,-0.00759477632328009,-0.013168231651141634,-0.005573121630187128,-0.0034634364111528317,0.009255939826617562,-0.005212919703303698,-0.00038420847749403826,-0.004754828631667715,-0.0026470896285675613,0.0037429756763160387,0.00011036141054539137,0.004436240771802565,0.0004077351526113032,0.0009797062826782086,-0.0010097958817667546,0.0018365558567734262,1.5947963945175805e-06,0.04164859002169197,0.008676789587852497,0.01258134490238616
word_freq_internet,0.00042977984,0.07285371935655682,-0.10176451298578987,0.01217481658521,0.10748979210345569,-0.05989699035404242,-0.07053712797057288,-0.0560255455960042,-0.013047554915918866,0.03235169394793121,-0.04202150643853764,0.023590768894534774,0.003655974780923156,0.001777475619341223,-0.05711259011838532,-0.06545398465718875,0.03676094745836815,-0.0014289689859168194,-0.02715093058192141,0.018719543825675335,0.053603383362662134,0.04469322639548718,0.027296455556510557,0.056751363513383696,-0.04396869076198496,-0.056166383236401204,0.19871976959649845,0.004121583653845824,-0.13439098307646205,-0.23748084481405934,-0.11766269732879764,-0.21717520284793113,0.300901462786228,-0.03955114811662158,0.31169360580601735,0.12297800752072098,-0.2131711915928791,-0.18470084739096665,0.05513722522422291,-0.013238510511758063,-0.0052144317282228885,-0.023521076161268768,0.03250491177927293,-0.09255360997732173,0.048791350190302,-0.0026107077809907034,-0.023010001921383333,0.02035288175337046,0.027859150153939118,-0.010230324765300771,0.007296038001569639,0.008358685681336171,-0.0034944241797101724,-0.021441926330566012,-0.009289134108056351,-0.0033432770094126768,-0.0016786551676042471,-0.0020577870072466266,6.301307499446365e-06,0.0008676789587852562,0.0017353579175704904,-0.0021691973969631072
word_freq_order,0.00010220782,0.005706227124425922,-0.1925883997324431,-0.002588342199680345,0.21410513827311287,-0.25370331585822675,0.006825834864437155,0.08076748286785271,-0.01718046340295241,-0.014305440436420193,0.12681212669087882,0.051257277603385665,0.027946894234951898,0.12520151593527015,-0.049823269738957565,-0.28920612367758725,-0.08167713330440594,-0.05381411497391547,0.15902251633659026,-0.16036449781622106,0.4854481909276664,-0.14033471832239897,-0.03950697973551083,0.14823112298300828,0.11067652121967975,-0.09053926231104725,0.04378649349406179,-0.09105333527920531,-0.11883736325491406,0.38712079136195193,0.015902738367251035,0.1604475827524823,-0.048764376179015606,0.17897056963242014,0.1948220032522883,0.0027867322225214007,-0.04263932272118452,-0.015440954874055095,-0.021134433557158733,0.0023113280685020587,0.06609609492400827,0.018294956384462338,-0.02217700733734347,-0.009088079452253582,0.057661504526892705,0.012652188467788211,-0.05376268505534132,0.029413199727394135,-0.003230340437549462,-0.0035412963946716463,0.013082886990899007,-0.004800348593058804,1.0334221970561147e-06,0.019121103897030475,-0.007184952049869251,-0.0033470860244121776,-0.0015782079965760399,0.007342661089820964,1.7967191740268952e-05,0.0,-0.000433839479392617,-0.0034707158351409808
word_freq_mail,0.00048116193,0.016324729780176517,-0.055180353207960636,0.0013747584217104014,0.12868726943605524,-0.1130641197442346,-0.04351226970931726,-0.03889194207540138,-0.023239588295813712,0.06848542033409362,-0.10917779360696936,0.0399745963430342,0.025346571554838798,0.013624168830348086,-0.07992131196208506,-0.06982439541094411,0.05328699523776641,-0.12802042131356983,0.014294973619830398,-0.010299144330265925,0.03374038412061505,0.012317147423439014,0.010843612297388106,-0.16085113942733847,0.04701086889803334,-0.1769778643219785,-0.15995579350908679,0.08855119058191183,-0.06334433232330294,-0.10831108624845368,-0.04313577911289277,-0.07594683150986128,0.2567002230022671,0.3017117129892469,-0.10058030516808009,0.1837064034157449,0.07937299104040077,0.2719098296543042,0.03574855241853828,0.09707361021195057,0.14727749256461067,0.1035979640681088,-0.04964515363856844,0.025032899802330377,-0.009530191952588352,-0.07932179986884254,0.01174500663175255,0.01514973205197014,0.03684174422671703,0.013404563790021981,-0.009034179429513641,0.003152898993331608,-0.004972029537041673,-0.005487607164104686,0.0018706928016230034,-0.006741776347312187,0.001498521845342264,-0.000996554307165642,-1.0249097141252832e-05,0.000433839479392617,0.0026030368763557466,-0.0008676789587852118
