,MI score,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PI_XGBoost,PI_xRFM,PI_MLP
WSR0,0.012243856662524921,-0.38709264271123817,0.6575809832591798,0.33748967800693097,0.2317528639924479,0.013278057356124912,0.22421332146220657,-0.03321170440253085,-0.1367599481834647,-0.15464328893996973,-0.02236571624102902,0.13212288720502016,-0.2219496615936802,0.027553938058615952,-0.06426034816770097,0.040799310058674744,-0.24693462960598125,-0.06293983923518351,-0.05068135126763279,0.0723314657186541,-0.004501028412381857,-0.11588499613154613,-0.020353203351373746,0.0024188103775534685,0.04357363008164227,0.11586354002663916,0.021676911440360904,0.06750365783249962,-0.06417760991612086,0.1054975955964477,0.009522385329625375,-0.07735344111515291,-0.015746081055320754,-0.013029151824247201,-0.03917080150343432,-0.09428110097515172,-0.005185524520805403,-0.004559515934889674,0.0011815103505843584,0.0174151761889971,0.012762345072378362,0.04306098170335295,-0.0028581656778446972,0.016276191310695763,0.023992203045103095,-0.05232409252339209,-0.01194446490399773,-0.018006484884150693,-0.0036970693218674575,-0.0001285712445652416,0.0020736319963970927,0.002307526168073089,0.0023387994341111137,-0.001428542866834242,-0.006397873165977159,0.0009862357140722154,0.00012822126324059027,-0.0008946833455713145,0.0002891410155538134,-6.80957709862227e-05,0.0016081392559211243,0.0007320438733829117,-0.00034472179903069283,-0.0001954115412694982,-0.0004997613386842269,0.0004171387797454785,6.660591647377544e-05,8.798266694068367e-05,-2.581178562964805e-05,-0.0003032794353856985,-0.00020466673503868185,3.8647027659016993e-07,-1.5003593031815024e-05,0.0,0.003155818540433941,0.0015779092702169705
WSR1,0.025892059703027437,-0.40232262472499597,0.6732548962210125,0.37259745318019216,0.24530878279211724,0.03282373583454025,0.19863400365844402,-0.04958507983710505,-0.09493739750436957,-0.14455279124499806,-0.033324652052187355,0.12722878909462557,-0.19021303209880483,0.011400656779114803,-0.05093762669447267,0.011052576945031613,-0.17276201080842926,-0.016083262758894927,-0.007221219680463005,0.047800840676468705,-0.005635402030316947,-0.04409209228858804,0.023705362921256048,0.03656478220957751,0.047417317309524996,0.04671843966883915,0.007848103563374538,0.033823179141497836,0.008595725732429756,-0.004215258126108711,-0.003588463730391584,-0.00113521692615417,0.024595369914544495,-0.029426857993889496,0.02080389260572129,0.05529813095727359,-0.021151278639886837,-0.02064794156216264,0.038506907705381704,-0.04490536849166048,-0.01655444267837834,-0.0584554688961087,-0.010847576541277697,-0.024239237031337686,-0.033190284452305985,0.111118317605094,0.034910071598653274,0.03977814652216445,0.004415134776430905,0.009238811916665726,-0.008992967253549521,-0.005853668738323616,-0.011018119289883447,-0.008402991132184094,-6.564060581601605e-05,-2.2458098099944536e-06,0.0006216396327609549,9.29463364387689e-05,-0.0007528926546380442,-0.0004336213112926793,-0.0027275376718983776,-0.0005299380818382868,0.0012728075230920876,-0.0002816742135751794,0.00031215751451686626,-0.0005092022806511342,-0.000169252141325637,-0.0003003203117727287,0.0003363468268964931,0.00024928073695565503,-3.9512256380869555e-05,-0.0002257973516579666,2.2865340098917787e-05,0.0019723865877712353,0.00039447731755426485,0.0003944773175542426
WSR2,0.014733357846731465,-0.4605897272710805,0.6828849056392012,0.3915311314774572,0.2622393490815233,0.041034000386738476,0.19541349081058396,-0.03132822918220601,-0.08421231192011226,-0.16637398279269372,0.004193147419704785,0.11334158001074998,-0.20406658662769744,-0.019588378692063313,-0.04853832615229943,0.025412128151192856,-0.08683302364950408,0.0031972294019748768,0.04968821294822101,0.04136343033615455,0.005002004350947178,0.001915071400704787,0.017537930622677163,-6.060604413030837e-05,0.018418501205837136,-0.05296299251586879,-0.009842564346634284,-0.008270872736747861,0.07388489767262744,-0.09544888693670009,0.01692298851982769,0.05288038069743801,-0.009571476251676383,-0.013523957310364949,0.07105689696293262,0.13594838023180306,0.021340369752387928,0.009651461008192301,-0.04413707330221634,0.011044763607213903,-0.0114773839966716,-0.01523926870410007,0.016806437849437302,0.011537206741602612,-0.018158880448331634,-0.08728631638594563,-0.019154845304755017,-0.02016270526648577,0.012005929625389008,-0.005051963101436794,0.005735156887525055,0.006442175061273952,0.004832318815512025,0.00036835136777177424,-0.0019321756005587147,-0.0030040060970102436,0.0014726056403463895,-0.00481660858279642,0.0007495669690368035,0.0004073797574596605,0.00024446055104486496,-0.00044710397024668054,0.00023193315093496207,-0.0002692426020281081,0.0005104066890498345,2.1514297037775013e-05,-4.194634398724502e-05,-0.00039374156412772253,-0.0001841732440085065,-0.00011223546997176444,0.00022279929357917988,0.00018147282914874165,6.737863348879823e-05,0.0,-0.0011834319526626614,0.0003944773175542426
WSR3,0.012266397642869187,-0.4650415592226264,0.6700514773685307,0.36187446887847025,0.2814184658287124,0.08938846654683355,0.17807636994039205,-0.05749449372641333,-0.0215589038957872,-0.13374427802331051,-0.015144150040737311,0.11109671253666449,-0.1142892754632543,-0.03811701198497344,-0.02661392919904591,0.043864615044213816,0.02385181670628976,0.015823878298965435,0.09357035519030286,-0.021823088891460965,-0.031133741327301314,0.10290102548727298,0.033718953874955306,-0.03801932088781603,-0.018299330798251964,-0.12304794756866484,-0.034637480843335636,-0.05776016175254769,0.03869498881000155,-0.052853023247079245,-0.026996118189022384,0.04699122117617482,-0.021201752937486676,0.02827631023371291,-0.009674874536372809,-0.05584521122480897,-0.003375176891949532,0.025250194569928632,0.004634218615249369,0.055870933261057396,0.022284347360536517,0.09149452475659216,-0.01971026217169733,-0.056390974978437876,0.06875129599546866,0.052196121731953496,-0.02487846627865994,0.009840881086632851,-0.00662153719868803,-0.002591685948496664,0.0005261946464187213,-0.004941535631154032,0.002565490876708943,-0.002161802546989796,-0.0015894272434829112,-0.0035860882649348495,-0.00012917721700760732,-0.0022422142847042525,-0.0004279109783027592,-0.0008534265701858178,-0.0006524004631178916,0.00045227480113543784,-0.0006949135840251857,0.00022456401550346097,0.0002243073437824288,0.00015251338271204913,8.727867567907083e-05,0.0007566195086248126,-0.00011471765564611146,8.260172309572307e-05,-0.00035391902763708843,0.0001317502569454417,0.00022996764236583712,0.0,-0.0015779092702168818,0.001183431952662728
WSR4,0.01892766648032773,-0.47833028351792845,0.6791318690068744,0.36365508336405117,0.33592065337078647,0.1052604068039603,0.1144046889548863,-0.07677673078908469,0.012681322339964116,-0.10758767679603735,-0.014169962063544187,0.09443857874881022,-0.02691860879412831,-0.02470790513586168,0.024382849457976193,0.01982951053702079,0.12698458759831682,0.04594339752433915,0.11660659743234092,-0.024301960283582554,-0.04281868124622547,0.08850478735345009,0.01668903527446606,-0.07768836047367955,-0.05918009610216969,-0.13084335181256157,0.026025679189348595,-0.037104406014231435,-0.038688556724938206,0.03004434606090588,-0.04588373918770773,-0.02090697967208646,0.0017072895672263992,0.03849535341593417,-0.048465744744711735,-0.07669243539565172,0.011580016582335309,0.0469479511578839,-0.003920023278804384,-0.062392659864284265,-0.031209981956203302,-0.02645699094276982,-0.011207248253129588,0.0798276993948655,-0.06660847971631093,-0.00811761231436779,0.03602666343638698,-0.011117525150722254,0.008041880961532836,-0.005141562590304515,0.0008102887092878512,-0.00037591343452250637,-0.0016971967167343904,-0.0025086097817883404,-0.0014799520715649962,0.0015185698511725584,-0.0021687512698753087,0.0004691750299534298,0.000247086067287037,-0.00034660752936717344,0.00047311995080279146,5.242818366137514e-05,0.0006691933769522367,0.00023954775156002534,-0.0005085234064687197,0.00011867494809549081,-0.00010554567775225098,-0.0003302001137469569,0.0003240248720674082,-0.00012512895769371558,-2.1633884846980908e-05,-0.00024065091915705596,-0.00022712313376227735,0.0,-0.002366863905325367,-0.0003944773175542426
WSR5,0.022433909253753548,-0.5092101996012034,0.658916370029899,0.3899602428236067,0.31850022255762783,0.11042497452797241,0.09289423329406776,-0.06437812895345738,0.04969870189338143,-0.023172508221266763,-0.07949753157110001,0.04541854809343538,0.0603302857191415,-0.02351987037724908,0.05184477328341823,-0.04556379376781064,0.2359319145733867,0.07098616543153793,0.07313863895551688,-0.08744465651577721,0.04458479193204314,0.06989981138317469,0.02597237956354966,-0.00895386363528157,-0.0918689890662122,0.030395687295355675,0.049645843298834716,-0.0002622495115752825,-0.07610157369831706,0.08497164454550277,-0.006110789096196937,-0.05852205626554615,0.02478004398456104,-0.030689766924745385,-0.023570390490363396,0.057310574664911844,-0.05343538442558673,-0.04524111268317928,0.04379063029386949,0.026931008176600244,0.028302652861298766,-0.06970422995535558,0.06459241582204256,-0.044638970286316235,0.03739096410554217,-0.02041513865760279,-0.023999306212841104,-0.004522751262441162,-0.002434913968360696,0.0023047664617328154,0.002890716246771496,0.006909776379777903,0.0029423340832472732,-0.005028539139242095,-0.004764924138223708,-0.00208316211445609,0.0010477920441025956,-0.001726994129062994,0.0005099756879506768,-0.00017954844401710482,0.0003097657280395897,-0.0004276034027822551,0.0004485597981706192,-0.000408728037485711,0.0002974164022136613,8.322798946304482e-05,0.00025359045504853,-0.00015533151976891617,-0.00013411960840803286,-0.0002592249895945538,-8.824643893068972e-05,-6.945624156289701e-05,4.593528662987607e-05,0.0,-0.0015779092702168818,-0.0007889546351084852
WSR6,0.024697990473359077,-0.47650054667858677,0.6971389975983313,0.3760430429320255,0.29764823980390775,0.06830224923343477,0.07360333460591469,-0.036171916713847875,0.03901510845078564,0.03704682101059267,-0.10473290889703667,0.03215139669319796,0.14544332965897433,0.011390811377654924,0.08181320894152701,-0.09746035526863082,0.24957895152455867,0.04733935937905903,-0.032288113868433936,-0.033558455690894926,0.050113484349220354,0.03187969432510336,-0.05514822766335581,0.055369728391591384,-0.055389816451823594,0.13179241896634505,-0.05099542453675022,0.05816580848611283,-0.008943674419182512,-5.615107054844608e-06,0.08019691259687614,-0.04853657276911682,-0.0220395206338958,-0.04271620038338861,0.0757140731124575,0.014240159858464163,0.0487202952946859,-0.02468328642902664,-0.05571801476176427,0.005142608695602833,-0.013850178643948838,0.08284484472625957,-0.059944238651503536,0.007792703399158914,-0.03105637840535249,0.017090255869852133,0.01829828953718538,0.001658155066605209,0.006539763458404688,-0.007994851143439534,-0.005205871628430425,-0.006747971332699459,-0.0004503022130569512,0.00012935298876525728,-0.0024930930079170746,-0.002095984705756398,-0.0010449892894984607,-0.0003724044686439843,-0.0007012281936877916,-0.000239269027429206,-0.0007241337628697849,0.0007189530513061357,-0.00037381440042379854,-0.00043685802294567605,-0.0002210632031449658,-0.0006128312092919151,-0.00021443888414485134,-6.976922398578135e-05,-0.00012589019533358576,0.00022584259495643755,-0.00014507489023673885,-2.585063487686206e-05,3.607674884463869e-05,0.0,-0.002366863905325345,-0.0003944773175542426
WSR7,0.01002823310113432,-0.27171588327302154,0.7276268078834996,0.3183803204975528,0.40617400120979186,0.0695938604288939,0.08728685023766743,-0.11331734373467629,0.060994478838004455,0.07588351831387388,-0.0556737208858185,-0.033430817439189665,0.22943020970183725,0.09024676995325404,0.07397977697896213,-0.09893616523402866,0.07344640021803395,-0.031574024926819426,-0.07741926377237458,0.027247337785489247,-0.010280559549147932,-0.07626415672507778,-0.12474171201746613,0.07542761231493324,0.09728634484063775,0.04477347123974795,-0.11014329281068776,0.010494549504613303,0.08478601473780728,-0.11282395281992992,-0.041755465784334776,0.056997938821260495,0.0047509037587396925,-0.01593908681546559,0.0019471910351005516,-0.1034011039560038,-0.019014331415517147,0.013900670346300055,0.03990400732431171,-0.009200466584524903,0.011908634355170408,-0.06034962861512321,0.03263044093394041,0.01593116733695032,0.015708251415788386,-0.015621513171875719,-0.019360315233347282,0.0029849831812541385,-0.002583080387803858,0.004255074500264755,0.0016998353065500315,-0.0006706666489181329,-0.0032035205932628755,-0.004179110655480807,-0.001029287846948406,0.000833916584780164,-4.668611096940472e-05,-0.0022350617215759335,-4.17534077907013e-05,0.000525618139751908,-2.1296967421868638e-05,-0.0009691424908440149,-1.1093006580842859e-05,5.851885534686568e-05,0.0004801868596372786,0.0002671882734524346,0.0002229794170723987,-0.00017817723964381354,0.0003767688534536732,-0.00012631733610477406,-0.00010208415168399413,5.6004357376417724e-06,3.9538563852969916e-05,0.0,0.0,-0.0035502958579881616
WSR8,0.017147207510715967,-0.25401630804830727,0.6909165809875345,0.15462200324971423,0.4582451462424312,0.04414562092612074,0.025043055748527093,-0.1413402566431624,0.15607874186286072,0.19291262253923816,0.056949609191342794,-0.1229475127648634,0.2792707398835403,0.1090720182252252,0.06793316826161276,0.0028781524260336647,-0.10222643245096141,-0.06092277051037809,-0.10831392045537022,-0.013381770170186897,-0.050266674914190006,-0.1492574604981496,-0.05646198264242516,0.01610312176929871,0.06561831308532153,-0.10281008369426908,0.03926086189128093,-0.03608399686898488,-0.06705764188113339,0.0815101982311418,-0.0647576495965649,0.023230259108531184,0.0018007710257519573,0.026337894452627287,-0.07108776293156772,0.10727375513029427,0.04074380968192376,0.031745733387314116,-0.03516292491609983,0.019777765199193345,-0.008474286644146201,0.027387805681020613,-0.01916649260089766,-0.0062605538168895416,0.006626765815980388,0.010788156603957341,-0.0005691056510746208,0.009660810755651814,0.004791863486112433,0.0011498983586513754,-0.0008868898652381276,0.0024517611988609514,0.0015933595045711185,-0.0008060256584875487,-0.00332844968133081,0.00034631173790052944,0.00010129557703146937,-0.0010586650293941638,0.0008394009549057169,-2.2519392264621287e-06,0.0004463653707171149,0.000607230140266896,0.00037417301564914094,0.000482655317539352,0.00020431792954525652,0.00025645268166531594,-0.00013562741115603758,0.0001390648354878439,5.5148777102394154e-05,8.592993590929097e-05,1.636327519520453e-05,-5.778265059779937e-05,7.496831259102947e-05,0.0,2.2204460492503132e-17,0.0
WSR9,0.014060197264313734,-0.37431520610942653,0.7066465857250369,-0.03812645253252442,0.3793637884707593,-0.027280440938631096,-0.09418194608815102,-0.0379659583485408,0.15435728467610554,0.2225671313762608,0.19813598963605397,-0.2385258812672248,0.16736006473098453,0.018778508421640815,-0.023597091290882978,0.04351876871231655,-0.1699322571181486,-0.0031264947516786096,-0.05631553627906913,0.02307275205254112,0.0007580672703943736,0.01882955176099205,0.12229350949634395,-0.1281105620825064,0.007918207581957852,-0.0889020222640397,0.031190604092228673,0.015496592421423198,0.06033316927160936,-0.00604442909610776,0.09242262787244322,-0.06871270229883795,0.013442739155949379,0.012344812171223848,0.08485267208166623,-0.025513884870202497,-0.06812429823396006,-0.06144838999523523,0.036738591275034385,-0.03516638256775416,0.014412031329479791,0.040043132972130524,0.025401612335606453,6.431722544144599e-05,-0.013895402624942491,-0.005473726022263794,0.00803899755840781,-0.015720148586655488,0.0005730104493948299,0.0018868727308340787,0.0004889112615023261,-0.005368939640085635,-0.0019005784296892043,-0.00570404560038459,-0.002403569171329814,-0.0017524930382692414,0.002116351632541223,-0.0016189947093392164,0.0004813374131983286,-0.0009042827881769171,8.940473545777107e-05,-0.00030915033579476125,-0.00021704553363254006,-0.0009886698560142779,-0.0003352737435127397,-0.00013106475210550233,6.842997674140734e-05,-0.0001481417092073464,-0.00018602117182536814,-0.00039445602569706856,-0.00015867221302737748,2.4084394981272134e-05,-1.1942581913930758e-05,0.0,0.00591715976331364,0.001183431952662728
